City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
512,Tabuk,PH,78.1,17.4189,121.4443,Golden Berries Hotel and Convention
516,Meulaboh,ID,78.6,4.1363,96.1285,Kost Pria
517,Jacqueville,CI,84.2,5.2052,-4.4146,Hotel Le Martin Pecheur
524,Atop-Atop,PH,80.65,11.2322,123.7602,Bantayan Island Nature Park and Resort
530,Lazaro%20Cardenas,MX,75.2,17.9583,-102.2,Hotel Quinta Antigua
532,Sur,OM,77.52,22.5667,59.5289,Sur Plaza Hotel
534,Obidos,BR,76.28,-1.9175,-55.5181,Hotel Amazônia Center
537,Manacapuru,BR,75.2,-3.2997,-60.6206,Novo Hotel
539,Wajir,KE,75.04,1.7471,40.0573,Al-bustan Hotel And Restaurant.
541,Jalingo,NG,77.4,8.8833,11.3667,Debright Motel
545,Toma,BF,83.01,12.7667,-2.8833,Auberge de l'amitié
548,Nelson%20Bay,AU,77.0,-32.7167,152.15,Mantra Nelson Bay
549,Sulangan,PH,80.83,11.1373,123.7228,Maia's Beach Resort
551,Port%20Keats,AU,88.03,-14.25,129.55,TDC Village (Hundred Man Camp)
554,Vanimo,PG,86.22,-2.6741,141.3028,Vahmoneh Lodge Vanimo
556,Axim,GH,79.77,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
560,Labuan,MY,78.8,5.2767,115.2417,Tiara Labuan Hotel
565,Morondava,MG,76.68,-20.2833,44.2833,La Case Bambou
568,Gigmoto,PH,81.48,13.7796,124.39,Cj's Travellers Inn
569,Papetoai,PF,86.0,-17.4961,-149.8729,Fare Vaihere
571,Biak,ID,82.78,-0.9131,122.8766,Penginapan Kim
583,Dabakala,CI,80.64,8.3667,-4.4333,Hôtel Campement
585,Conakry,GN,79.2,9.538,-13.6773,Riviera Royal Hotel
588,Bermejo,AR,84.2,-32.8833,-68.8,Muras Apart Hotel
591,Mali,GN,89.6,12.079,-12.2982,Hotel La Dame de Mali
599,Anton%20Lizardo,MX,75.99,19.05,-95.9833,Hotel CocoAventura
600,Sinnamary,GF,77.85,5.3833,-52.95,ALETHEIA Appartement Sinnamary
601,Qui%20Nhon,VN,76.71,13.7667,109.2333,Hoang Yen Canary Hotel
607,Baculin,PH,82.31,7.4525,126.5842,Shovy's Cove
608,Port%20Hedland,AU,80.6,-20.3167,118.5667,The Esplanade Hotel
612,Kloulklubed,PW,84.2,7.0419,134.2556,Storyboard Beach Resort
615,Ugoofaaru,MV,81.39,5.6667,73.0,Ungoofaaru Inn
617,Bucerias,MX,75.2,20.75,-105.3333,Villa del Palmar Flamingos Beach Resort & Spa Riviera Nayarit
621,Buenos%20Aires,AR,78.01,-34.6132,-58.3772,Hotel NH Buenos Aires City
623,Almeirim,BR,75.18,-1.5233,-52.5817,Ricácio Hotel
624,Naranjito,EC,84.2,-2.2167,-79.4833,canton marcelino maridueña
